0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
5,McLaren-Mercedes,5,9,17†,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4,122
5,McLaren-Mercedes,6,11,9F,11,6,9,16†,11,20†,8,9,11,12,8,10,15,5,9,7,6,122
6,Force India-Mercedes,14,8,Ret,8,4,7,9,7,9,11,18†,Ret,Ret,20†,Ret,11,8,6,15,11,77
6,Force India-Mercedes,15,7,Ret,Ret,13,13,5,10,7,13,Ret,9,16†,10,20†,14,9,10,Ret,13,77
7,Sauber-Ferrari,11,DNS,8,10,12,15,11,Ret,10,10,11,13,5,9,4,6,19†,14,6,8,57
7,Sauber-Ferrari,12,13,12,Ret,18,11F,13,20†,14,14,Ret,14,13,12,11,7,15,13,13,12,57
8,Toro Rosso-Ferrari,18,12,10,12,Ret,Ret,8,6,Ret,Ret,12,12,Ret,14,18†,12,13,17,16,15,33
8,Toro Rosso-Ferrari,19,Ret,18†,7,16,10,Ret,15,8,12,13,10,7,Ret,19†,13,10,16,11,10,33
9,Williams-Renault,16,Ret,Ret,14,11,14,Ret,16,11,15,10,17,14,11,13,16,12,11,17,16,5
9,Williams-Renault,17,14,11,13,14,16,12,14,12,16,Ret,15,15,13,12,17,16,15,8,Ret,5
10,Marussia-Cosworth,22,15,13,15,19,18,Ret,17,16,Ret,16,18,19,18,16,Ret,18,20,18,17,0
10,Marussia-Cosworth,23,17,16,17,20,19,14,19,17,19,17,19,20,17,17,19,17,21,21,19,0
11,Caterham-Renault,20,16,14,16,17,17,Ret,18,15,17,15,Ret,17,19,14,18,Ret,19,20,Ret,0
11,Caterham-Renault,21,18,15,18,21,Ret,15,Ret,18,18,14,16,18,16,15,Ret,Ret,18,19,18,0
Pos.,Constructor,No.,AUS,MAL,CHN,BHR,ESP,MON,CAN,GBR,GER,HUN,BEL,ITA,SIN,KOR,JPN,IND,ABU,USA,BRA,Points
Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154],Source:[154]
Key,Key,,,,,,,,,,,,,,,,,,,,,
Colour,Result,,,,,,,,,,,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,,,,,,,,,,,
P,Pole position,,,,,,,,,,,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,,,,,,,,,,,
