Année,Champion,Pays,Écurie,Châssis,Moteur
1984,Niki Lauda,Autriche,McLaren,McLaren MP4/2,TAG V6 turbo
1985,Alain Prost,France,McLaren,McLaren MP4/2,TAG V6 turbo
1986,Alain Prost,France,McLaren,McLaren MP4/2C,TAG V6 turbo
1987,Nelson Piquet,Brésil,Williams,Williams FW11B,Honda V6 turbo
1988,Ayrton Senna,Brésil,McLaren,McLaren MP4/4,Honda V6 turbo
1989,Alain Prost,France,McLaren,McLaren MP4/5,Honda V10
1990,Ayrton Senna,Brésil,McLaren,McLaren MP4/5B,Honda V10
1991,Ayrton Senna,Brésil,McLaren,McLaren MP4/6,Honda V12
1992,Nigel Mansell,Royaume-Uni,Williams,Williams FW14B,Renault V10
1993,Alain Prost,France,Williams,Williams FW15C,Renault V10
1994,Michael Schumacher,Allemagne,Benetton,Benetton B194,Ford V8
1995,Michael Schumacher,Allemagne,Benetton,Benetton B195,Renault V10
1996,Damon Hill,Royaume-Uni,Williams,Williams FW18,Renault V10
1997,Jacques Villeneuve,Canada,Williams,Williams FW19,Renault V10
1998,Mika Häkkinen,Finlande,McLaren,McLaren MP4/13,Mercedes V10
1999,Mika Häkkinen,Finlande,McLaren,McLaren MP4/14,Mercedes V10
2000,Michael Schumacher,Allemagne,Ferrari,Ferrari F1-2000,Ferrari V10
2001,Michael Schumacher,Allemagne,Ferrari,Ferrari F2001,Ferrari V10
2002,Michael Schumacher,Allemagne,Ferrari,Ferrari F2001 Ferrari F2002,Ferrari V10
2003,Michael Schumacher,Allemagne,Ferrari,Ferrari F2002 Ferrari F2003-GA,Ferrari V10
2004,Michael Schumacher,Allemagne,Ferrari,Ferrari F2004,Ferrari V10
2005,Fernando Alonso,Espagne,Renault,Renault R25,Renault V10
2006,Fernando Alonso,Espagne,Renault,Renault R26,Renault V8
2007,Kimi Räikkönen,Finlande,Ferrari,Ferrari F2007,Ferrari V8
2008,Lewis Hamilton,Royaume-Uni,McLaren,McLaren MP4-23,Mercedes V8
2009,Jenson Button,Royaume-Uni,Brawn,Brawn BGP 001,Mercedes V8
2010,Sebastian Vettel,Allemagne,Red Bull,Red Bull RB6,Renault V8
2011,Sebastian Vettel,Allemagne,Red Bull,Red Bull RB7,Renault V8
2012,Sebastian Vettel,Allemagne,Red Bull,Red Bull RB8,Renault V8
2013,Sebastian Vettel,Allemagne,Red Bull,Red Bull RB9,Renault V8
2014,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W05 Hybrid,Mercedes V6 Turbo
2015,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W06 Hybrid,Mercedes V6 Turbo
2016,Nico Rosberg,Allemagne,Mercedes,F1 W07 Hybrid,Mercedes V6 Turbo
2017,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W08 EQ Power+,Mercedes V6 Turbo
2018,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W09 EQ Power+,Mercedes V6 Turbo
2019,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W10 EQ Power+,Mercedes V6 Turbo
2020,Lewis Hamilton,Royaume-Uni,Mercedes,F1 W11 EQ Performance,Mercedes V6 Turbo
2021,Max Verstappen,Pays-Bas,Red Bull,Red Bull RB16B,Honda V6 Turbo
2022,Max Verstappen,Pays-Bas,Red Bull,Red Bull RB18,Red Bull Powertrains V6 Turbo
2023,Max Verstappen,Pays-Bas,Red Bull,Red Bull RB19,Red Bull Powertrains V6 Turbo
2024,Max Verstappen,Pays-Bas,Red Bull,Red Bull RB20,Red Bull Powertrains V6 Turbo
2025,Lando Norris,Royaume-Uni,McLaren,McLaren MCL39,Mercedes V6 Turbo
