Entrant,Constructor,Chassis,Engine,Driver,Rounds
R.R.C. Walker Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Maurice Trintignant,1
R.R.C. Walker Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Lance Reventlow,7
Owen Racing Organisation,BRM,P25 P48,BRM P25 2.5 L4,Jo Bonnier,"1–2, 4–8, 10"
Owen Racing Organisation,BRM,P25 P48,BRM P25 2.5 L4,Graham Hill,"1–2, 4–8, 10"
Owen Racing Organisation,BRM,P25 P48,BRM P25 2.5 L4,Dan Gurney,"2, 4–8, 10"
Ettore Chimeri,Maserati,250F,Maserati 250F1 2.5 L6,Ettore Chimeri,1
Fred Tuck Cars,Cooper-Climax,T51,Climax FPF 2.5 L4,Bruce Halford,2
Fred Tuck Cars,Cooper-Climax,T51,Climax FPF 2.5 L4,Lucien Bianchi,6–7
High Efficiency Motors  C.T. Atkins,Cooper-Climax,T51,Climax FPF 2.5 L4,Roy Salvadori,"2, 10"
High Efficiency Motors  C.T. Atkins,Cooper-Climax,T51,Climax FPF 2.5 L4,Jack Fairman,7
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Chris Bristow,"2, 4–5"
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Tony Brooks,"2, 4–5, 7–8, 10"
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Henry Taylor,"4, 6–8, 10"
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Olivier Gendebien,"5–8, 10"
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Bruce Halford,6
Yeoman Credit Racing Team,Cooper-Climax,T51,Climax FPF 2.5 L4,Phil Hill,10
J.B. Naylor,JBW-Maserati,59,Maserati 250S 2.5 L4,Brian Naylor,"2, 7, 9–10"
Scuderia Eugenio Castellotti,Cooper-Castellotti,T51,Castellotti 2.5 L4,Gino Munaron,"6–7, 9"
Scuderia Eugenio Castellotti,Cooper-Castellotti,T51,Castellotti 2.5 L4,Giorgio Scarlatti,"2, 9"
Scuderia Eugenio Castellotti,Cooper-Castellotti,T51,Castellotti 2.5 L4,Giulio Cabianca,9
Reventlow Automobiles Inc.,Scarab,F1,Scarab 2.5 L4,Chuck Daigh,"2, 4–6, 10"
Reventlow Automobiles Inc.,Scarab,F1,Scarab 2.5 L4,Lance Reventlow,"2, 4–5"
Reventlow Automobiles Inc.,Scarab,F1,Scarab 2.5 L4,Richie Ginther,6
David Brown Corporation,Aston Martin,DBR4 DBR5,Aston Martin RB6 2.5 L6,Roy Salvadori,"4, 7"
David Brown Corporation,Aston Martin,DBR4 DBR5,Aston Martin RB6 2.5 L6,Maurice Trintignant,7
Ecurie Maarsbergen,Cooper-Climax,T51,Climax FPF 1.5 L4,Carel Godin de Beaufort,4
Taylor-Crawley Racing Team,Lotus-Climax,18,Climax FPF 2.5 L4,Mike Taylor,5
Equipe Nationale Belge,Cooper-Climax,T45,Climax FPF 2.5 L4,Lucien Bianchi,5
Vandervell Products,Vanwall,VW 11,Vanwall 254 2.5 L4,Tony Brooks,6
Robert Bodle Ltd,Lotus-Climax,16,Climax FPF 2.5 L4,David Piper,6–7
Gilby Engineering,Cooper-Maserati,T45,Maserati 250S 2.5 L4,Keith Greene,7
Arthur Owen,Cooper-Climax,T45,Climax FPF 2.2 L4,Arthur Owen,9
Wolfgang Seidel,Cooper-Climax,T45,Climax FPF 1.5 L4,Wolfgang Seidel,9
Scuderia Colonia,Cooper-Climax,T43,Climax FPF 1.5 L4,Piero Drogo,9
H.H. Gould,Maserati,250F,Maserati 250F1 2.5 L6,Horace Gould,9
Dr Ing F. Porsche KG  Porsche System Engineering,Porsche,718/2,Porsche 547/3 1.5 F4,Edgar Barth,9
Dr Ing F. Porsche KG  Porsche System Engineering,Porsche,718/2,Porsche 547/3 1.5 F4,Hans Herrmann,9
Equipe Prideaux/Dick Gibson,Cooper-Climax,T43,Climax FPF 1.5 L4,Vic Wilson,9
Joe Lubin,Maserati,250F,Maserati 250S 2.5 L4,Bob Drake,10
Jim Hall,Lotus-Climax,18,Climax FPF 2.5 L4,Jim Hall,10
Fred Armbruster,Cooper-Ferrari,T51,Ferrari 107 2.5 L4,Pete Lovely,10
