"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","reference","reference href","cite-bracket","cite-bracket 2","abbr","abbr 2","abbr 3"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Le début des  s'inscrit dans la continuité de la décennie précédente avec très peu de modifications apportées au règlement. Cependant avec l'arrivée d'une nouvelle race d'ingénieurs innovants comme  et les premières pressions exercées par les pilotes à propos des conditions de sécurité, le nombre de changements apportés à la réglementation s'accélère au fur et à mesure que les années passent.","","années 1960","https://fr.wikipedia.org/wiki/Ann%C3%A9es_1960","Colin Chapman","https://fr.wikipedia.org/wiki/Colin_Chapman","8","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-8","[","]","","",""
": les moteurs à compresseur sont interdits tandis que la cylindrée des moteurs atmosphériques doit être comprise entre 1 300 et 1 500 . Le poids minimal des monoplaces est fixé à 450 , le carburant doit être le même que celui servi à la pompe, les starters automatiques, les barres de roulements et les doubles circuits de freinage sont obligatoires. Le système d'ancrage des ceintures de sécurité est standardisé, des protections ignifuges pour les réservoirs d'essence sont mises au point ainsi que des orifices de remplissage/reniflards. La FIA commence à organiser les premières inspections de sécurité, qui étaient auparavant sous la responsabilité des autorités locales, et rend obligatoire le port du casque et de la combinaison. Les  sont créés.","1961","drapeaux de signalisation","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1961","","https://fr.wikipedia.org/wiki/Drapeaux_en_Formule_1","9","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles24-9","[","]","cm","3","kg"
", , ,  : La FIA autorise le retour des moteurs avec compresseur fixant leur cylindrée à 1 500  maximum tandis que celle des moteurs atmosphériques est fixée à 3 000 . Le poids minimal des voitures passe de 450 à 500 . Deviennent obligatoires le disjoncteur électrique, la marche arrière, le récupérateur d'huile, l'arceau de 5  au-dessus de la tête du pilote, le système d'extincteur en deux parties et la standardisation des cockpits pour une évacuation rapide en cas de danger. Tous les ailerons aérodynamiques doivent être statiques (interdisant de ce fait les freins à air) et être fixés rigidement sur la partie suspendue de la voiture. Les ailerons surélevés pouvant gêner le pilote sont interdits. Enfin, des recommandations sont émises sur les harnais des sièges, les vêtements ignifuges et les lunettes/visières de casque incassables.","1966","1967","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1966","1968","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1967","9","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles24-9","[","]","cm","3","cm"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Depuis les années 1950, la vitesse des monoplaces a considérablement augmenté sans que les normes de sécurité sur les circuits ne suivent la cadence. De nombreux pilotes estiment que le niveau de danger est trop important malgré les changements de réglementation effectués à la fin des . À l'instigation de , ils mènent une véritable « croisade » pour exiger l'amélioration des conditions de sécurité. Après la mort de  au , la plupart des changements requis par les pilotes sont acceptés, amenant ainsi la Formule 1 vers les standards de sécurité modernes.","Grand Prix d'Italie 1978","années 1960","https://fr.wikipedia.org/wiki/Ann%C3%A9es_1960","Jackie Stewart","https://fr.wikipedia.org/wiki/Jackie_Stewart","11","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-11","[","]","","",""
": la cylindrée des moteurs à compresseur est limitée à 500  et celle des moteurs atmosphériques à 3 000 . Le poids minimum est fixé à 530  et les réservoirs souples sont introduits. Concernant les circuits, les bandes d'herbe de trois mètres de large en bordure de piste, les doubles glissières de sécurité et la séparation physique entre la voie des stands et la piste deviennent obligatoires ainsi que la publication de rapports sur les conditions de piste. Il est recommandé que les bottes de pailles soient bannies des circuits tandis que les spectateurs ont l'interdiction de s'approcher à moins de trois mètres des glissières de sécurité. D'autres mesures concernant la largeur de la piste et son type de surface sont prises. Enfin, les infrastructures des circuits doivent obligatoirement être inspectées par la FIA.","1970","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1970","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","cm","3","cm"
": les superviseurs et les commissaires de pistes reçoivent une formation sur leur rôle et leurs responsabilités ainsi qu'une liste d'équipements obligatoires. Les pilotes doivent pouvoir être évacués du cockpit en moins de cinq secondes.","1971","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1971","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
": augmentation de la cylindrée des moteurs compressés qui repasse à 1 500 . Le poids minimal des monoplaces est porté de 530 à 550  et des dimensions minimum sont établies pour le cockpit. La mousse de sécurité dans les réservoirs est obligatoire et l'épaisseur des plaques de  doit au moins être de 3 millimètres. Sont également exigés un feu rouge de 15 watts à l'arrière du véhicule, un appui-tête pour le pilote, un dispositif de coupure électrique combiné à une poignée externe pour l'extincteur et des harnais à six points d'ancrage. Des critères de sécurité sont mis au point pour les circuits et un code de conduite des pilotes est publié.","1972","magnésium","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1972","","https://fr.wikipedia.org/wiki/Magn%C3%A9sium","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","cm","3","kg"
": le poids minimum des voitures est porté de 550 à 575 . Le réservoir doit être entouré d'une structure qui ne peut être écrasée et le chromage des éléments de suspension est interdit. Les pilotes doivent porter sur eux une carte médicale et se soumettre à l'examen médical avant de prendre la piste. Les barrières de protection et l'équipement de secours sont obligatoires pour les courses. Les dimensions de la grille de départ sont normalisées et un règlement est établi pour les pompiers présents sur le circuit.","1973","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1973","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","kg","",""
": les tuyaux de carburant auto-obturants deviennent obligatoires. Des bacs à sable sont ajoutés devant les barrières de protection et les positions de la grille de départ sont décalées créant un espace de 12 mètres de longueur entre les monoplaces placées l'une derrière l'autre.","1974","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1974","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
": les commissaires et le personnel médical bénéficient de routes de service aménagées sur les circuits leur permettant d'intervenir plus rapidement. La FIA établit de nouvelles normes pour les combinaisons ignifugées.","1975","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1975","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
": élaboration de règles de sécurité pour le tableau de bord et les pédales.","1976","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1976","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
": les normes de sécurité concernant le pédalier et les bacs à gravier sont définies plus précisément. Les casques des pilotes doivent être conformes aux normes de la FIA.","1977","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1977","","","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
": la  BT46B est jugée par la FIA non conforme au règlement et bannie des circuits après son unique participation en Grand Prix, en , qu'elle remporte : le système d'« aspirateur » est jugé dangereux car il favorise les performances de la monoplace et expose davantage les pilotes en cas de choc. De nouvelles spécifications sont établies pour la cloison située derrière le conducteur et l'arceau de sécurité avant. Les positions de la grille de départ sont espacées en longueur de 14 mètres.","1978","Brabham","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1978","Suède","https://fr.wikipedia.org/wiki/Brabham_Racing_Organisation","15","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-15","[","]","","",""
": un nouveau  est introduit : l'air médical est requis sur les circuits pour être injecté dans le casque des pilotes en cas d'accident. L'habitacle bénéficie d'une plus grande ouverture, les rétroviseurs deviennent obligatoires et des extincteurs répondant à de nouvelles normes d'efficacité à bord des voitures sont exigés. La FIA désigne un mandataire chargé de lancer les courses.","1979","système de support de vie","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1979","","https://fr.wikipedia.org/wiki/Syst%C3%A8me_de_support_de_vie","10","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-articles25-10","[","]","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
": la  88 à double châssis est jugée immédiatement non conforme. Une  de 6  minimum sous les jupes des monoplaces est décrétée afin de réduire l'efficacité de la dépression créée sous le châssis. Le poids minimum des monoplaces passe à 585 .","1981","Lotus","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1981","garde au sol","https://fr.wikipedia.org/wiki/Team_Lotus","","","","","cm","","kg"
": afin de lutter contre l'omniprésence des moteurs turbocompressés, le poids minimum des monoplaces est abaissé et passe de 585 à 580 .","1982","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1982","","","","","","","kg","",""
": toujours afin de lutter contre l'omniprésence des moteurs turbocompressés, le poids minimum des monoplaces est à nouveau abaissé et passe de 580 à 540 . Le comité exécutif de la FIA présidée par  passe outre l'impératif d'unanimité des concurrents pour imposer l'interdiction des jupes et pour l'obligation d'installation d'un fond plat pour condamner l'effet de sol.","1983","Jean-Marie Balestre","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1983","","https://fr.wikipedia.org/wiki/Jean-Marie_Balestre","","","","","kg","",""
": toujours afin de limiter l'efficacité des moteurs turbocompressés, la capacité des réservoirs d'essence est ramenée à 220 litres.","1984","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1984","","","","","","","","",""
": toujours afin de limiter l'efficacité des moteurs turbocompressés, la capacité des réservoirs d'essence est ramenée de 220 à 195 litres.","1986","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1986","","","","","","","","",""
": toujours afin de limiter l'efficacité des moteurs turbocompressés, le poids minimum des monoplaces est abaissé de 580 à 500 , une bride d'admission limite la pression d'alimentation du turbocompresseur à 4 bars et la cylindrée maximale des moteurs atmosphériques est augmentée pour atteindre 3 500 .","1987","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1987","","","","","","","kg","3","cm"
": toujours afin de limiter l'efficacité des moteurs turbocompressés, une nouvelle bride d'admission limite la pression d'alimentation du turbocompresseur à  bars et la capacité des réservoirs d'essence est ramenée à 150 litres.","1988","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1988","","","","","","","","",""
": les moteurs turbocompressés sont interdits. Les monoplaces de Formule 1 sont désormais équipées de moteurs atmosphériques de 3 500  et leur poids minimal fixé à 500 .","1989","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1989","","","","","","","cm","3","kg"
"","","","","","","","","","","","",""
": un crash-test frontal et latéral est obligatoire. Le pilote doit pouvoir s'extraire de la monoplace en cinq secondes sans démonter le volant. Le réservoir de carburant doit obligatoirement être situé entre l'habitacle (dos du pilote) et le moteur (les réservoirs latéraux enveloppant le cockpit sont proscrits) et celui-ci doit être en caoutchouc recouvert d'une enveloppe anti-perforation.","1991","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1991","","","","","","","","",""
": la largeur hors-tout de la monoplace passe de 2,15  à 2 . La largeur des pneumatiques est ramenée de 18 à 15 pouces, soit une dimension des pneus arrière fixée à 381  de large (contre 457  auparavant).","1993","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1993","","","","","","","m","","m"
": les systèmes de suspensions actives, , antiblocage, assistance à la direction, boîtes de vitesses automatiques à passage programmé, et accélérateur électronique (fly-by-wire), sont interdits. Les ravitaillements en course sont autorisés.","1994","antipatinage","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1994","","https://fr.wikipedia.org/wiki/Antipatinage","","","","","","",""
": le poids minimum des monoplaces est porté à 595 , pilote compris (contrairement aux années précédentes où le poids minimum ne concernait que la voiture). La cylindrée maximum ( maximum) autorisée passe de 3 500  à 3 000 .","1995","V12","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1995","","https://fr.wikipedia.org/wiki/Moteur_V12","","","","","kg","3","cm"
": un enregistreur de données (« boîte noire ») est rendu obligatoire sur toutes les monoplaces.","1997","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1997","","","","","","","","",""
": la largeur hors-tout de la monoplace passe de 2  à 1,80 . Le poids minimum des monoplaces est porté à 600 . Les pneus «  » font place à des pneus rainurés  (3 stries à l'avant, 4 à l'arrière).","1998","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1998","","","","","","","m","","m"
": Le baquet doit être solidaire du pilote (le pilote peut être extrait de la voiture sanglé à son siège). Un système de retenue des roues par câble est rendu obligatoire pour éviter leur envol lors d'un choc. Les pneus doivent maintenant comprendre quatre stries à l'avant comme à l'arrière.","1999","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_1999","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
": le moteur est obligatoirement un  de 3 000 . Les systèmes d'antipatinage sont à nouveau autorisés.","2001","V10","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2001","","https://fr.wikipedia.org/wiki/Moteur_V10","","","","","cm","3",""
": introduction du  («  »), équipement solidaire du casque destiné à protéger les vertèbres cervicales des pilotes en cas de «  ». Les systèmes d'antipatinage sont à nouveau interdits, de même que les boîtes de vitesses entièrement automatiques et les systèmes de  dans le sens stand-voiture.","2003","système HANS","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2003","coup du lapin","https://fr.wikipedia.org/wiki/Syst%C3%A8me_HANS","","","","","","",""
": instauration du moteur unique pour toute la durée du week-end de course.","2004","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2004","","","","","","","","",""
": instauration du moteur unique pour toute la durée de deux week-end de course. Il est interdit de changer de pneumatiques en course.","2005","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2005","","","","","","","","",""
": le moteur est obligatoirement un  de 2 400  (il reste toutefois possible d'utiliser un V10 de la saison 2005 dont le régime maximum est bridé). Le changement de pneumatiques en course est à nouveau autorisé.","2006","V8","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2006","","https://fr.wikipedia.org/wiki/Moteur_V8","","","","","cm","3",""
": le poids minimum des monoplaces (à tout moment de l'épreuve et toujours pilote compris) est porté à 605 . Les pneus sont fournis par  à tous les concurrents et ces derniers doivent effectuer un changement de qualité de gomme au moins une fois pendant chaque Grand Prix.","2007","Bridgestone","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2007","","https://fr.wikipedia.org/wiki/Bridgestone","","","","","kg","",""
": la boîte de vitesses doit pouvoir être utilisée pendant quatre Grand Prix consécutifs. Toutes les monoplaces sont équipées de la même centrale électronique (ECU) unique fournie par la FIA. L'utilisation d'un V10 bridé est interdite et le régime maximum des moteurs, tous V8 de 2 400 , est limité à  .","2008","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2008","","","","","","","cm","3","tr/min"
": chaque écurie dispose d'un maximum de 20 moteurs ; 16 pour les courses (8 par voiture) et 4 pour les essais au banc. Pour les rendre plus fiables, le régime maximal de ceux-ci est ramené à  . Le  (SREC) est autorisé. Pour diminuer les turbulences produites par les monoplaces, des modifications aérodynamiques importantes sont apportées ; la hauteur de l'aileron arrière passe de 80  à 95 , sa largeur de 100  à 75 . La largeur maximale de l'aileron avant passe de 140  à 180  et celui-ci est abaissé à 75  (150  précédemment). Tout appendice  est interdit et la hauteur du diffuseur est modifiée. Pour retrouver une partie du «  » perdu par la diminution des appuis aérodynamiques, les pneus redeviennent «  » (plus de rainurage).","2009","système de récupération de l'énergie cinétique","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2009","aérodynamique","https://fr.wikipedia.org/wiki/Syst%C3%A8me_de_r%C3%A9cup%C3%A9ration_de_l%27%C3%A9nergie_cin%C3%A9tique","","","","","tr/min","mm","cm"
"","","","","","","","","","","","",""
": le poids minimum des voitures passe de 605  à 620 . Les ravitaillements en course sont interdits, les voitures devront s'élancer avec la quantité d'essence nécessaire à la distance totale de la course.","2010","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2010","","","","","","","kg","","kg"
": le poids minimum des voitures passe de 620  à 640 . Les pneus sont fournis par  à tous les concurrents. Instauration du  (Système de réduction de la traînée) autorisé dans certaines zones des circuits appelées ""zone DRS"", et si un pilote se trouve à moins d’une seconde d’un autre pilote, favorisant les dépassements.","2011","Pirelli","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2011","DRS","https://fr.wikipedia.org/wiki/Pirelli","17","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-17","[","]","kg","","kg"
": cette saison connait des changements importants tant au niveau technique que sportif. La motorisation passe à un   de 1 600  (1 seul échappement) dont le régime maximum est limité à   et la consommation à 100  de carburant par Grand Prix. Il est complété par deux , pouvant délivrer une puissance additionnelle d'environ 160 chevaux pendant 33 secondes sur un tour. Cinq blocs moteur par saison. La boîte de vitesses passe de sept à huit rapports lesquels resteront fixes pour toute la saison (une boîte pour six GP). Le poids minimum (pilote équipé + voiture réservoir vide) est porté à 691 . Pour des raisons de sécurité, la hauteur de châssis au niveau du train avant passe de 625 à 525  et le museau est abaissé de 550 à 185 . L'aileron avant est plus étroit de 15  (à 1 650 ) et la surface de l'aileron arrière est diminuée. Chaque pilote choisit dorénavant un numéro pour la durée de toute sa carrière. Une nouvelle pénalité de 5 secondes lors d'un arrêt au stand programmé est désormais à la disposition des commissaires. Les points du dernier Grand Prix sont doublés.","2014","V6","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2014","turbocompressé","https://fr.wikipedia.org/wiki/Moteur_V6","18","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-18","[","]","cm","3","tr/min"
": les points doublés attribués au dernier grand prix sont supprimés. Le poids minimum de la voiture est porté à 702  pour diminuer les contraintes de poids subies par les pilotes les plus grands. À la suite de l'arrivée en F1 de l'adolescent  confirmé titulaire à 16 ans et qui dispute son premier championnat du monde à 17 ans, un âge minimum pour concourir en Formule 1 est introduit : 18 ans. La hauteur du nez est rabaissée et les constructeurs doivent maintenir une symétrie parfaite droite/gauche. Conséquence de l'accident fatal de  au Japon, la voiture de sécurité virtuelle est introduite : pendant une voiture de sécurité virtuelle, les pilotes sont contraints de maintenir leur vitesse dans une gamme imposée.","2015","Max Verstappen","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2015","Jules Bianchi","https://fr.wikipedia.org/wiki/Max_Verstappen","20","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-20","[","]","kg","",""
": les voitures sont peu modifiées, mais d'importants détails sont ajoutés à la gestion des courses et à la sécurité. Trois types de gommes sont apportées à chaque grand prix. Pirelli impose trois trains de pneu (un pour la Q3, deux pour la course), les pilotes et écuries sont libres de choisir les dix autres trains. Ce changement vise à introduire une plus grande variété de stratégie et donc des courses plus incertaines. Les protections latérales pour la tête du pilote sont rehaussées de 20  et doivent résister à des compressions de l'ordre de 50N/30s. Pour mieux comprendre les accidents et leurs conséquences, des accéléromètres intraauriculaires sont imposés et des caméras hautes fréquences braquées sur la tête du pilote sont ajoutées. La voiture de sécurité virtuelle peut désormais être aussi déployée pendant les séances d'essai","2016","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2016","","","21","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-21","[","]","mm","",""
": les pneumatiques avant passent à 305 mm contre 245 mm en 2016, les pneus arrière quant à eux passent à 405 mm contre 325 mm en 2016. Le poids minimum des monoplaces passe de 702 à 722 kg. Le design de l’aileron arrière est revu avec des dérives latérales en diagonales qui permettent de modifier le point où la structure de flux d’air interagit avec l’aileron arrière, devenant plus large de 200 mm et est abaissé de 15 cm. L’aileron avant est porté de 1650 à 1800 mm, améliorant grandement la charge aérodynamique de la voiture. La largeur minimale du châssis des monoplace passe de 1300 à 1400 mm et la largeur maximale est de 1600 mm (soit 200 mm de plus). La largeur du fond plat passe de 1400 à 1600 mm et il est réduit de 100 mm en longueur. Le point d’attaque recule de 330 à 430 mm. L'extrémité du diffuseur est plus importante avec une inclinaison de 175 mm par rapport à la ligne centrale des roues arrière, l’ensemble boite de vitesses et transmission a inclinaison plus haute. Elle est augmentée de 50 mm (175 au lieu de 125mm) et la largeur de 1000 à 1050m cette dernière augmentant grandement le fameux « effet de sol » (dépression d’air qu’il y sous la voiture). Une nouvelle procédure pour les départs sur piste mouillée a été instaurée : si un départ est lancé sous , un départ arrêté normal a lieu une fois que la piste sera considérée comme sûre, ensuite la  rentre aux stands et les Formules 1 se placent sur la grille de départ. Les pilotes doivent avoir le même casque sur l’ensemble des Grands Prix excepté pour une course de leur choix, seul exception s'ils changent d'écuries en cours de saison où ils peuvent changer de casque. Les équipes ne peuvent plus choisir le nombre de trains de pneus qu’ils souhaitent pour les 5 premières courses, c'est le manufacturier qui fournit à chaque pilote deux trains du composé le plus dur, quatre du composé intermédiaire, et sept du composé le plus tendre. Il n'est plus possible d’utiliser plus d’un moteur hors quota lors d’un Grand Prix.","2017","safety car","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2017","voiture de sécurité","https://fr.wikipedia.org/wiki/Voiture_de_s%C3%A9curit%C3%A9","22","https://fr.wikipedia.org/wiki/Histoire_de_la_r%C3%A9glementation_de_la_Formule_1#cite_note-22","[","]","","",""
": introduction du le , sorte d'arceau de sécurité, structure de protection frontale du cockpit des monoplaces pour protéger la tête des pilotes d'un choc avec un objet en mouvement.","2018","halo","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2018","","https://fr.wikipedia.org/wiki/Halo_(automobile)","","","","","","",""
"","","","","","","","","","","","",""
": Face à la pandémie de , la FIA met en place des ajustements immédiats pour limiter les coûts et adapter le championnat aux nouvelles contraintes sanitaires :","2020","COVID-19","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2020","limitation des mises à niveau des unités de puissance V6 turbo hybrides ;","https://fr.wikipedia.org/wiki/Maladie_%C3%A0_coronavirus_2019","","","","","","",""
": Pour limiter les coûts, plusieurs éléments des monoplaces ne peuvent pas être développés librement d’une saison à l'autre (châssis, boîte de vitesses, structures de choc avant et arrière, suspensions, composants mécaniques liés à l’architecture du moteur, systèmes électroniques standardisés et certaines pièces aérodynamiques homologuées). Le poids minimum des monoplaces passe de 746 à 752 kg.","2021","","https://fr.wikipedia.org/wiki/Championnat_du_monde_de_Formule_1_2021","","","","","","","","",""
