0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5,Toyota,9,3,4,Ret,3PF,Ret,13,4,7,17,8,13,Ret,14,12,2,Ret,7,59.5
5,Toyota,10,4,3,7,7,10,10,8,9,9,6,14F,10,11,2,DNS,9,6,59.5
6,BMW Sauber,5,14†,Ret,13,18,11,Ret,7,13,14,13,8,4,Ret,8,9,2,10,36
6,BMW Sauber,6,10,2,12,19,7,11,11,15,10,11,11,5,7,Ret,6,Ret,5,36
7,Williams-Toyota,16,6F,8,15,9,8,6,5,5,4,4,5,8,16,11,5,Ret,9,34.5
7,Williams-Toyota,17,Ret,12,Ret,Ret,13,15†,12,11,12,9,18,13,10,9,15,Ret,13,34.5
8,Renault,7,5,11,9,8,5,7,10,14,7F,RetP,6,Ret,5,3F,10,Ret,14,26
8,Renault,8,Ret,13,16,10,12,Ret,16,12,13,12,15,Ret,15,Ret,16,13,18,26
9,Force India-Mercedes,20,9,17,17†,16,Ret,14,17,17,15,Ret,10,11,4F,Ret,13,Ret,17,13
9,Force India-Mercedes,21,11,18†,14,15,14,9,Ret,10,11,14,12,2P,Ret,14,14,11,15,13
10,Toro Rosso-Ferrari,11,8,10,11,13,Ret,8,18,Ret,Ret,15,16,Ret,Ret,Ret,Ret,14,Ret,8
10,Toro Rosso-Ferrari,12,7,16†,8,17,Ret,Ret,15,18,16,16,Ret,12,13†,Ret,Ret,7,8,8
Pos.,Constructor,No.,AUS,MAL‡,CHN,BHR,ESP,MON,TUR,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,BRA,ABU,Points
Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98],Source:[98]
Key,Key,,,,,,,,,,,,,,,,,,,
Colour,Result,,,,,,,,,,,,,,,,,,,
Gold,Winner,,,,,,,,,,,,,,,,,,,
Silver,Second place,,,,,,,,,,,,,,,,,,,
Bronze,Third place,,,,,,,,,,,,,,,,,,,
Green,Other points position,,,,,,,,,,,,,,,,,,,
Blue,Other classified position,,,,,,,,,,,,,,,,,,,
Blue,"Not classified, finished (NC)",,,,,,,,,,,,,,,,,,,
Purple,"Not classified, retired (Ret)",,,,,,,,,,,,,,,,,,,
Red,Did not qualify (DNQ),,,,,,,,,,,,,,,,,,,
Black,Disqualified (DSQ),,,,,,,,,,,,,,,,,,,
White,Did not start (DNS),,,,,,,,,,,,,,,,,,,
White,Race cancelled (C),,,,,,,,,,,,,,,,,,,
Blank,Did not practice (DNP),,,,,,,,,,,,,,,,,,,
Blank,Excluded (EX),,,,,,,,,,,,,,,,,,,
Blank,Did not arrive (DNA),,,,,,,,,,,,,,,,,,,
Blank,Withdrawn (WD),,,,,,,,,,,,,,,,,,,
Blank,Did not enter (empty cell),,,,,,,,,,,,,,,,,,,
Annotation,Meaning,,,,,,,,,,,,,,,,,,,
P,Pole position,,,,,,,,,,,,,,,,,,,
F,Fastest lap,,,,,,,,,,,,,,,,,,,
