Entrant,Constructor,Chassis,Engine,Driver,Rounds
Ecurie Maarsbergen,Emeryson-Climax,61,Climax FPF 1.5 L4,Wolfgang Seidel,1
Owen Racing Organisation,BRM,P57 P48/57,BRM P56 1.5 V8,Graham Hill,All
Owen Racing Organisation,BRM,P57 P48/57,BRM P56 1.5 V8,Richie Ginther,All
Owen Racing Organisation,BRM,P57 P48/57,BRM P56 1.5 V8,Bruce Johnstone,9
Bowmaker-Yeoman Racing Team,Lola-Climax,Mk4,Climax FWMV 1.5 V8,John Surtees,All
Bowmaker-Yeoman Racing Team,Lola-Climax,Mk4,Climax FWMV 1.5 V8,Roy Salvadori,"1–2, 4–9"
Ecurie Galloise,Cooper-Climax,T53,Climax FPF 1.5 L4,Jackie Lewis,"1, 4–6"
Ecurie Galloise,BRM,P48/57,BRM P56 1.5 V8,Jackie Lewis,2
R.R.C. Walker Racing Team,Lotus-Climax,24,Climax FWMV 1.5 V8,Maurice Trintignant,"2–4, 6–8"
Ecurie Nationale Suisse  Ecurie Filipinetti,Lotus-Climax,21,Climax FPF 1.5 L4,Jo Siffert,"2–3, 6"
Ecurie Nationale Suisse  Ecurie Filipinetti,Lotus-BRM,24,BRM P56 1.5 V8,Jo Siffert,"4, 7"
Ecurie Nationale Suisse  Ecurie Filipinetti,Lotus-BRM,24,BRM P56 1.5 V8,Heinz Schiller,6
Ecurie Nationale Suisse  Ecurie Filipinetti,Porsche,718,Porsche 547/3 1.5 F4,Heini Walter,6
Scuderia SSS Republica di Venezia,Lotus-Climax,18/21 24,Climax FPF 1.5 L4,Nino Vaccarella,"2, 7"
Scuderia SSS Republica di Venezia,Porsche,718,Porsche 547/3 1.5 F4,Nino Vaccarella,6
Emeryson Cars,Lotus-Climax,18,Climax FPF 1.5 L4,John Campbell-Jones,3
Emeryson Cars,Emeryson-Climax,61,Climax FPF 1.5 L4,Tony Settember,"5, 7"
Equipe Nationale Belge,Lotus-Climax,18/21,Climax FPF 1.5 L4,Lucien Bianchi,3
Equipe Nationale Belge,ENB-Maserati,F1,Maserati Tipo 6 1.5 L4,Lucien Bianchi,6
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,Dan Gurney,3
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,Wolfgang Seidel,5–6
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,Gunther Seiffert,6
Autosport Team Wolfgang Seidel,Lotus-BRM,24,BRM P56 1.5 V8,Tony Shelly,7
Anglo-American Equipe,Cooper-Climax,T59,Climax FPF 1.5 L4,Ian Burgess,5–7
Ecurie Excelsior,Lotus-Climax,18,Climax FPF 1.5 L4,Jay Chamberlain,5–7
John Dalton,Lotus-Climax,18/21,Climax FPF 1.5 L4,Tony Shelly,5–6
Gilby Engineering,Gilby-BRM,62,BRM P56 1.5 V8,Keith Greene,6–7
Bernard Collomb,Cooper-Climax,T53,Climax FPF 1.5 L4,Bernard Collomb,6
Scuderia de Tomaso,De Tomaso,801,De Tomaso 1.5 F8,Nasif Estéfano,7
Scuderia Settecolli,De Tomaso-OSCA,F1,OSCA 372 1.5 L4,Roberto Lippi,7
Gerry Ashmore,Lotus-Climax,18/21,Climax FPF 1.5 L4,Gerry Ashmore,7
Scuderia Jolly Club,Lotus-Climax,18,Climax FPF 1.5 L4,Ernesto Prinoth,7
Dupont Team Zerex,Lotus-Climax,24,Climax FWMV 1.5 V8,Roger Penske,8
Hap Sharp,Cooper-Climax,T53,Climax FPF 1.5 L4,Hap Sharp,8
Jim Hall,Lotus-Climax,21,Climax FPF 1.5 L4,Jim Hall,8
John Mecom,Lotus-Climax,24,Climax FPF 1.5 L4,Rob Schroeder,8
Ernie Pieterse,Lotus-Climax,21,Climax FPF 1.5 L4,Ernie Pieterse,9
John Love,Cooper-Climax,T55,Climax FPF 1.5 L4,John Love,9
Neville Lederle,Lotus-Climax,21,Climax FPF 1.5 L4,Neville Lederle,9
Otelle Nucci,LDS-Alfa Romeo,Mk 1,Alfa Romeo Giulietta 1.5 L4,Doug Serrurier,9
Mike Harris,Cooper-Alfa Romeo,T53,Alfa Romeo Giulietta 1.5 L4,Mike Harris,9
